"",2018/4,2019/3,2019/4,2020/1,2020/2,2020/3,2020/4,2021/1,2021/2,2021/3
sales,,35500000000,,40000000000,83000000000,49100000000,,51700000000,106000000000,57900000000
earnings,,3600000000,,,9000000000,2780000000,,,9800000000,5100000000
