,2008/4,2009/4,2010/4,2011/4,2012/4,2013/4,2014/2,2014/3,2014/4,2015/1,2015/2,2015/3,2015/4,2016/1,2016/2,2016/3,2016/4,2017/1,2017/2,2017/3,2017/4,2018/1,2018/2,2018/3,2018/4,2019/1,2019/2,2019/3,2019/4,2020/1,2020/2,2020/3,2020/4,2021/1,2021/2,2021/3
earnings,,,,,,,,,49000000000,30600000000,152100000000,65099999999,72600000000,117700000000,145400000000,137000000000,141800000000,166600000000,185600000000,224100000000,172400000000,212100000000,215300000000,228100000000,176200000000,226600000000,250300000000,156100000000,212000000000,120500000000,166700000000,271399999999,202400000000,304800000000,325000000000,348300000000
market_cap,501000000000,1859000000000,2324000000000,1773000000000,2074000000000,2264000000000,0,0,1223000000000,0,0,1683000000000,2263000000000,2451000000000,2961000000000,3243000000000,3870000000000,3575000000000,3263000000000,4308000000000,5046000000000,5688000000000,4892000000000,4560000000000,4188000000000,4817000000000,5355000000000,5117000000000,5728000000000,4212000000000,4586000000000,5153000000000,6091000000000,6552000000000,6859000000000,7661000000000
